ID_Pup,Beach,Day,Day_Actual,Date,Weight,Girth,Span,Length,Aggressiveness,LocalDensity,Sex,Death,Season,CI,ID_Mum,CI_Mum,Cause_of_death
N1,FWB,0,0,09-12-19,5,39,60,68,2,8,F,Y,1920,5.765763145,FWB1,33.91985002,starvation; mother died
N10,FWB,0,0,11-12-19,5.4,43,50,63,3,NA,F,N,1920,7.64196439,FWB10,29.89202659,
N10,FWB,50,50,30-01-20,7.7,43,67.5,68,3,5,F,N,1920,8.879275244,FWB10,29.89202659,
N10,FWB,30,30,10-01-20,5.9,38.5,61,65,3,1,F,N,1920,7.678467226,FWB10,29.89202659,
N10,FWB,20,20,31-12-19,5.2,39,61.5,66.5,3,4,F,N,1920,6.365928006,FWB10,29.89202659,
N10,FWB,40,40,20-01-20,7.4,45,63,70.5,2,0,F,N,1920,7.746042051,FWB10,29.89202659,
N10,FWB,60,70,16-02-20,8.9,47,68,71,3,1,F,N,1920,9.141332798,FWB10,29.89202659,
N10,FWB,10,10,21-12-19,5.8,42,64,67,3,4,F,N,1920,6.959285451,FWB10,29.89202659,
N11,FWB,0,0,11-12-19,6.8,48,49,66,2,NA,M,N,1920,8.494832874,FWB11,33.54366876,
N11,FWB,20,20,31-12-19,9,45,67,74,1,5,M,N,1920,8.273235272,FWB11,33.54366876,
N11,FWB,60,87,07-03-20,13.4,53.5,83,85.5,1,1,M,N,1920,8.362701782,FWB11,33.54366876,
N11,FWB,40,40,20-01-20,10.8,50,74,80,1,1,M,N,1920,8.055315043,FWB11,33.54366876,
N11,FWB,10,10,21-12-19,6.8,44,63.5,68,1,2,M,N,1920,7.841437878,FWB11,33.54366876,
N11,FWB,30,30,10-01-20,9.2,47,73,74,1,13,M,N,1920,8.457084944,FWB11,33.54366876,
N11,FWB,50,50,30-01-20,10.4,47,76,84,1,NA,M,N,1920,6.805868534,FWB11,33.54366876,
N12,FWB,60,74,19-02-20,10.9,50,69,86,2,1,F,N,1920,6.69698166,FWB12,32.22993324,
N12,FWB,0,0,11-12-19,5.8,45,54,63,1,NA,F,N,1920,8.208035827,FWB12,32.22993324,
N12,FWB,40,40,20-01-20,7.5,42,68,73,3,1,F,N,1920,7.150489853,FWB12,32.22993324,
N12,FWB,50,50,30-01-20,8.5,44,68,78,3,7,F,N,1920,6.785101528,FWB12,32.22993324,
N12,FWB,10,10,21-12-19,6.5,43,63,69,1,3,F,N,1920,7.207789895,FWB12,32.22993324,
N12,FWB,20,20,31-12-19,7.2,44.5,63,66,1,5,F,N,1920,8.994528926,FWB12,32.22993324,
N12,FWB,30,30,10-01-20,7.5,44,67.5,75,3,0,F,N,1920,6.65066556,FWB12,32.22993324,
N13,FWB,10,10,21-12-19,4.5,34,59,64,1,5,F,Y,1920,6.10502225,FWB13,29.519469,predation
N13,FWB,0,0,11-12-19,6,42,60,65,2,3,F,Y,1920,7.808610738,FWB13,29.519469,predation
